,features
29,"{
  ""features"": [
    {
      ""categoria"": ""Convection Microwave Drawer Oven"",
      ""material"": ""Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Sharp""
    }
  ]
}"
30,"{
  ""features"": [
    {
      ""categoria"": ""Avental"",
      ""material"": ""Poly-cotton blend"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Preto"",
      ""marca"": ""Homsolver""
    }
  ]
}"
31,"{
  ""features"": [
    {
      ""categoria"": ""Acessório para máscara"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""adulto e criança"",
      ""cor"": ""Vermelho, rosa, amarelo, verde fluorescente, azul, cinza, laranja, vinho"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
32,"{
  ""features"": [
    {
      ""categoria"": ""Sports Water Bottle"",
      ""material"": ""Tritan Co-polyester, PP 05, Food-grade Silicone"",
      ""Público-alvo"": ""Kids/Adults"",
      ""cor"": ""Multiple colors available"",
      ""marca"": ""ZORRI""
    }
  ]
}"
33,"{
  ""features"": [
    {
      ""categoria"": ""Drinkware"",
      ""material"": ""18/8 stainless steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""YETI""
    }
  ]
}"
34,"{
  ""features"": [
    {
      ""categoria"": ""Water Filter Pitcher"",
      ""material"": ""Plastic"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""PUR""
    }
  ]
}"
35,"{
  ""features"": [
    {
      ""categoria"": ""Hardscape Lighting"",
      ""material"": ""Die-cast aluminum (housing), stainless steel (mounting bracket)"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Dark Bronze, Gray"",
      ""marca"": ""GKOLED""
    }
  ]
}"
36,"{
  ""features"": [
    {
      ""categoria"": ""Baby Shower Games"",
      ""material"": ""Cardstock Paper"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Pink"",
      ""marca"": ""Paper Clever Party""
    }
  ]
}"
37,"{
  ""features"": [
    {
      ""categoria"": ""Bralette"",
      ""material"": ""Floral Lace"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Multiple Colors Optional"",
      ""marca"": ""SHEKINI""
    }
  ]
}"
38,"{
  ""features"": [
    {
      ""categoria"": ""Universal Hard Saddle Bags"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Not found""
    }
  ]
}"
39,"{
  ""features"": [
    {
      ""categoria"": ""Pijamas"",
      ""material"": ""Algodão"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Simple Joys by Carter's""
    }
  ]
}"
40,"{
  ""features"": [
    {
      ""categoria"": ""Shoe Stretchers"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""STEP 1""
    }
  ]
}"
41,"{
  ""features"": [
    {
      ""categoria"": ""Suitable for below the elbow casts and dressings, Suitable for above the elbow casts and dressings, Suitable for PICC lines and elbow dressings"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil, adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Bloccs Waterproof""
    }
  ]
}"
42,"{
  ""features"": [
    {
      ""categoria"": ""Running Shoe"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Nike""
    }
  ]
}"
43,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""algodão"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""vermelho"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
44,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de decoração"",
      ""material"": ""Cerâmica"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Branco"",
      ""marca"": ""Arte em Casa""
    }
  ]
}"
45,"{
  ""features"": [
    {
      ""categoria"": ""Acessório de moda"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Rosa"",
      ""marca"": ""PinkSheep""
    }
  ]
}"
46,"{
  ""features"": [
    {
      ""categoria"": ""Makeup Cosmetic Bags"",
      ""material"": ""100% cotton burlap"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""As the pictures shown"",
      ""marca"": ""Cokosoxo""
    }
  ]
}"
47,"{
  ""features"": [
    {
      ""categoria"": ""Notebook"",
      ""material"": ""Plastic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Fire Red"",
      ""marca"": ""Five Star""
    }
  ]
}"
48,"{
  ""features"": [
    {
      ""categoria"": ""Baby Outfits"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""SOLOYEE""
    }
  ]
}"
49,"{
  ""features"": [
    {
      ""categoria"": ""Underwater Scooter"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Sublue""
    }
  ]
}"
50,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Rug"",
      ""material"": ""Cotton"",
      ""handmade"": ""Hand-Woven"",
      ""cor"": ""Grey and White Striped"",
      ""marca"": ""EARTHALL""
    }
  ]
}"
51,"{
  ""features"": [
    {
      ""categoria"": ""Tunic Tops"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Brown"",
      ""marca"": ""KLOTHO""
    }
  ]
}"
52,"{
  ""features"": [
    {
      ""categoria"": ""Pant"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""LEE""
    }
  ]
}"
53,"{
  ""features"": [
    {
      ""categoria"": ""Screen Protector"",
      ""material"": ""Tempered Glass"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""amFilm""
    }
  ]
}"
54,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""1095HC steel, American Hickory, Leather"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Brown"",
      ""marca"": ""Condor Tool & Knife""
    }
  ]
}"
55,"{
  ""features"": [
    {
      ""categoria"": ""Police Silhouette Target"",
      ""material"": ""Paper or Cardboard"",
      ""Público-alvo"": ""Law enforcement officers or personal home defense practice"",
      ""cor"": ""Green"",
      ""marca"": ""Champion Traps and Targets""
    }
  ]
}"
56,"{
  ""features"": [
    {
      ""categoria"": ""greeting card"",
      ""material"": ""papel"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Hallmark""
    }
  ]
}"
57,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Duo-R. Strauss""
    }
  ]
}"
58,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Echo Collective""
    }
  ]
}"
59,"{
  ""features"": [
    {
      ""categoria"": ""Hair Dryer Brush"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""YaFex""
    }
  ]
}"
60,"{
  ""features"": [
    {
      ""categoria"": ""Laundry Basket"",
      ""material"": ""100% Fabric"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""OLLVIA""
    }
  ]
}"
61,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Krylon""
    }
  ]
}"
62,"{
  ""features"": [
    {
      ""categoria"": ""Pitcher Pump"",
      ""material"": ""Cast Iron"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Merrill MFG""
    }
  ]
}"
63,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Hemp"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Kirkland Signature""
    }
  ]
}"
64,"{
  ""features"": [
    {
      ""categoria"": ""Hygiene Gel"",
      ""material"": ""Natural ingredients (tea tree oil, aloe vera)"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""TPCK ToppCock""
    }
  ]
}"
65,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
66,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HIP HOP""
    }
  ]
}"
67,"{
  ""features"": [
    {
      ""categoria"": ""Cosplay Costume"",
      ""material"": ""velvet"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Black, Purple, Red, Green, Blue, Brown, Wine Red, White"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
68,"{
  ""features"": [
    {
      ""categoria"": ""Fruit Fly Trap"",
      ""material"": ""High quality adhesive"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Bright yellow"",
      ""marca"": ""Stingmon""
    }
  ]
}"
69,"{
  ""features"": [
    {
      ""categoria"": ""Decorative Bookend"",
      ""material"": ""Designer resin, Two-tone metallic finish"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Grey Stone"",
      ""marca"": ""Design Toscano""
    }
  ]
}"
70,"{
  ""features"": [
    {
      ""categoria"": ""Pet Clothes"",
      ""material"": ""Cotton Cloth Fabric"",
      ""Público-alvo"": ""Animal de estimação"",
      ""cor"": ""Red"",
      ""marca"": ""Koneseve""
    }
  ]
}"
71,"{
  ""features"": [
    {
      ""categoria"": ""Floating Pool Light"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
72,"{
  ""features"": [
    {
      ""categoria"": ""COLLECTIBLE STATUE"",
      ""material"": ""PVC"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Multicolor"",
      ""marca"": ""Kotobukiya""
    }
  ]
}"
73,"{
  ""features"": [
    {
      ""categoria"": ""Camiseta"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
74,"{
  ""features"": [
    {
      ""categoria"": ""Baby Toddler Boys Skinny Jeans"",
      ""material"": ""Stretch fabric"",
      ""Público-alvo"": ""Infantil"",
      ""cor"": ""Variety of washes"",
      ""marca"": ""The Children's Place""
    }
  ]
}"
75,"{
  ""features"": [
    {
      ""categoria"": ""Lilies"",
      ""material"": ""Bulbs"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Fushia, pink, white"",
      ""marca"": ""Stargazer""
    }
  ]
}"
76,"{
  ""features"": [
    {
      ""categoria"": ""Suplemento de Cranberry"",
      ""material"": ""Cranberry extract"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""TheraCran One""
    }
  ]
}"
77,"{
  ""features"": [
    {
      ""categoria"": ""Massageador pessoal"",
      ""material"": ""Materiais duráveis"",
      ""Público-alvo"": ""Unissex"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Sensual-U""
    }
  ]
}"
78,"{
  ""features"": [
    {
      ""categoria"": ""Inflatable Bounce House"",
      ""material"": ""Oxford Cloth, PVC"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""BOUNTECH""
    }
  ]
}"
79,"{
  ""features"": [
    {
      ""categoria"": ""camiseta regata"",
      ""material"": ""100% algodão"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Amazon Essentials""
    }
  ]
}"
80,"{
  ""features"": [
    {
      ""categoria"": ""Winter Fingerless Gloves"",
      ""material"": ""Polyester/ Acrylic"",
      ""Público-alvo"": ""Adult"",
      ""cor"": ""As Shown in Pictures"",
      ""marca"": ""Simplicity""
    }
  ]
}"
81,"{
  ""features"": [
    {
      ""categoria"": ""Playing Cards"",
      ""material"": ""High-grade Black foil and superb paper"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Weensmeil""
    }
  ]
}"
82,"{
  ""features"": [
    {
      ""categoria"": ""vitaminas líquidas"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Tropical Oasis""
    }
  ]
}"
83,"{
  ""features"": [
    {
      ""categoria"": ""Arco e Flecha"",
      ""material"": ""Three Layer Solid Straw"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Seektop""
    }
  ]
}"
84,"{
  ""features"": [
    {
      ""categoria"": ""Planta"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Dancing Doves""
    }
  ]
}"
85,"{
  ""features"": [
    {
      ""categoria"": ""Coax Cable"",
      ""material"": ""Silver foil, silver coated copper conductors, dielectric"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""MPD Digital""
    }
  ]
}"
86,"{
  ""features"": [
    {
      ""categoria"": ""Rice Cooker and Food Steamer"",
      ""material"": ""Non-stick inner pot, Aluminum steam tray"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""White"",
      ""marca"": ""Aroma Housewares""
    }
  ]
}"
87,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Pique"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""The Children's Place""
    }
  ]
}"
88,"{
  ""features"": [
    {
      ""categoria"": ""Alimento"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Clif Bar""
    }
  ]
}"
89,"{
  ""features"": [
    {
      ""categoria"": ""acessório de decoração"",
      ""material"": ""cerâmica"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""azul"",
      ""marca"": ""artesanal""
    }
  ]
}"
90,"{
  ""features"": [
    {
      ""categoria"": ""Cutelaria"",
      ""material"": ""European steel"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Victorinox""
    }
  ]
}"
91,"{
  ""features"": [
    {
      ""categoria"": ""Women’s Shorts"",
      ""material"": ""Linen"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Solid Color"",
      ""marca"": ""Acelitt""
    }
  ]
}"
92,"{
  ""features"": [
    {
      ""categoria"": ""Wader"",
      ""material"": ""Neoprene"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Verde"",
      ""marca"": ""Caddis""
    }
  ]
}"
93,"{
  ""features"": [
    {
      ""categoria"": ""carteira"",
      ""material"": ""couro sintético"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Loungefly Sanrio Hello Kitty""
    }
  ]
}"
94,"{
  ""features"": [
    {
      ""categoria"": ""Kitchen Accessories"",
      ""material"": ""Food grade silicone"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""VEHHE""
    }
  ]
}"
95,"{
  ""features"": [
    {
      ""categoria"": ""Livro"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
96,"{
  ""features"": [
    {
      ""categoria"": ""Soul/R&B"",
      ""material"": ""Compact Disk"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
97,"{
  ""features"": [
    {
      ""categoria"": ""Snowboard Bindings"",
      ""material"": ""Molded composite Rockered Baseplate, EVA pads"",
      ""Público-alvo"": ""Iniciantes"",
      ""cor"": ""Grey"",
      ""marca"": ""Flow""
    }
  ]
}"
98,"{
  ""features"": [
    {
      ""categoria"": ""calçado"",
      ""material"": ""couro"",
      ""Público-alvo"": ""adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""ECCO""
    }
  ]
}"
99,"{
  ""features"": [
    {
      ""categoria"": ""Smartwatch"",
      ""material"": ""Silicone, 6063 aviation aluminum"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Color Touch Screen, Colorful, Fashionable"",
      ""marca"": ""SKMEI""
    }
  ]
}"
100,"{
  ""features"": [
    {
      ""categoria"": ""door sign"",
      ""material"": ""wooden plaque"",
      ""Público-alvo"": ""infantil"",
      ""cor"": ""white"",
      ""marca"": ""Toad and Lily""
    }
  ]
}"
101,"{
  ""features"": [
    {
      ""categoria"": ""jogo de ação"",
      ""material"": ""não encontrado"",
      ""Público-alvo"": ""não encontrado"",
      ""cor"": ""não encontrado"",
      ""marca"": ""Medal of Honor""
    }
  ]
}"
102,"{
  ""features"": [
    {
      ""categoria"": ""Kitchen Storage"",
      ""material"": ""Bamboo"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Neutral"",
      ""marca"": ""INNERNEED""
    }
  ]
}"
103,"{
  ""features"": [
    {
      ""categoria"": ""Tapete"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
104,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""couro"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""preto"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
105,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""iJuqi""
    }
  ]
}"
106,"{
  ""features"": [
    {
      ""categoria"": ""Insulated Lunch Bag"",
      ""material"": ""BPA free, food grade materials"",
      ""Público-alvo"": ""Infantil/Adulto"",
      ""cor"": ""Black"",
      ""marca"": ""Tiblue""
    }
  ]
}"
107,"{
  ""features"": [
    {
      ""categoria"": ""Cabo de interconexão RCA"",
      ""material"": ""Cobre"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Vermelho e branco"",
      ""marca"": ""Skar Audio""
    }
  ]
}"
108,"{
  ""features"": [
    {
      ""categoria"": ""Indoor Table Tennis Table"",
      ""material"": ""Fully Laminated 15mm Warp-Resistant Surface"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""HEAD Summit USA""
    }
  ]
}"
109,"{
  ""features"": [
    {
      ""categoria"": ""ottoman"",
      ""material"": ""velvet"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""gray"",
      ""marca"": ""Cortesi Home""
    }
  ]
}"
110,"{
  ""features"": [
    {
      ""categoria"": ""Body Wash Set"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Harry's""
    }
  ]
}"
111,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Tartan"",
      ""marca"": ""Hanes""
    }
  ]
}"
112,"{
  ""features"": [
    {
      ""categoria"": ""Arcade"",
      ""material"": ""Metal Body + Acrylic Panel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Pandora Box""
    }
  ]
}"
113,"{
  ""features"": [
    {
      ""categoria"": ""Shot Glasses"",
      ""material"": ""Glass"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Clear"",
      ""marca"": ""Circleware""
    }
  ]
}"
